date,year,month,quarter,region,product,sales_rep,customer,revenue,cost,profit,units_sold,unit_price,profit_margin,month_name,day_of_week,week_number
2022-01-02,2022,1,Q1,North America,Cloud Subscription,Maya Patel,Quantum Corp,4510.31,3010.74,1499.57,14,300.69,33.25,January,Sunday,52
2022-01-03,2022,1,Q1,Europe,Software License,Grace Lee,Future Systems Inc,42753.16,27762.84,14990.32,7,6107.59,35.06,January,Monday,1
2022-01-03,2022,1,Q1,Latin America,Professional Services,Carol Davis,Apex Solutions,24277.28,14816.32,9460.96,5,4855.46,38.97,January,Monday,1
2022-01-03,2022,1,Q1,Asia Pacific,Cloud Subscription,Kate Thompson,Future Systems Inc,12229.35,8787.27,3442.08,11,1111.76,28.15,January,Monday,1
2022-01-04,2022,1,Q1,North America,Hardware,Kate Thompson,Enterprise Dynamics,78268.55,62355.35,15913.2,11,7115.32,20.33,January,Tuesday,1
2022-01-04,2022,1,Q1,Middle East & Africa,Cloud Subscription,Carol Davis,Pinnacle Corp,17608.75,11713.19,5895.55,4,4402.19,33.48,January,Tuesday,1
2022-01-04,2022,1,Q1,Latin America,Professional Services,Olivia White,Horizon Corp,21429.47,13605.0,7824.47,1,21429.47,36.51,January,Tuesday,1
2022-01-04,2022,1,Q1,Europe,Professional Services,Noah Martinez,Global Solutions Ltd,40783.75,28886.71,11897.04,10,4078.37,29.17,January,Tuesday,1
2022-01-04,2022,1,Q1,Europe,Software License,Maya Patel,NextGen Technologies,60157.79,42467.2,17690.59,2,30078.9,29.41,January,Tuesday,1
2022-01-04,2022,1,Q1,Latin America,Professional Services,Bob Smith,Digital Ventures,19448.26,14999.76,4448.5,1,19448.26,22.87,January,Tuesday,1
2022-01-04,2022,1,Q1,Middle East & Africa,Professional Services,David Wilson,Vertex Solutions,22672.23,13626.29,9045.94,14,1619.44,39.9,January,Tuesday,1
2022-01-04,2022,1,Q1,Latin America,Support & Maintenance,Carol Davis,Future Systems Inc,12797.94,8511.65,4286.29,8,1599.74,33.49,January,Tuesday,1
2022-01-05,2022,1,Q1,Europe,Hardware,Ivy Chen,Future Systems Inc,42625.51,28710.12,13915.39,14,3044.68,32.65,January,Wednesday,1
2022-01-05,2022,1,Q1,Middle East & Africa,Support & Maintenance,Olivia White,Zenith Systems,8910.82,6496.17,2414.65,15,594.05,27.1,January,Wednesday,1
2022-01-05,2022,1,Q1,Latin America,Professional Services,David Wilson,CloudTech Solutions,24209.95,14643.71,9566.24,17,1424.11,39.51,January,Wednesday,1
2022-01-05,2022,1,Q1,Middle East & Africa,Support & Maintenance,Bob Smith,Global Solutions Ltd,10519.73,7474.82,3044.9,3,3506.58,28.94,January,Wednesday,1
2022-01-06,2022,1,Q1,Europe,Cloud Subscription,Maya Patel,Elite Systems,17403.85,11739.55,5664.3,10,1740.38,32.55,January,Thursday,1
2022-01-06,2022,1,Q1,Middle East & Africa,Software License,Grace Lee,Prime Industries,31558.63,24472.92,7085.71,17,1856.39,22.45,January,Thursday,1
2022-01-06,2022,1,Q1,Middle East & Africa,Support & Maintenance,Ivy Chen,Future Systems Inc,6999.17,4558.15,2441.02,13,538.4,34.88,January,Thursday,1
2022-01-07,2022,1,Q1,North America,Software License,Kate Thompson,Horizon Corp,38701.22,26614.63,12086.59,19,2036.91,31.23,January,Friday,1
2022-01-07,2022,1,Q1,Asia Pacific,Professional Services,Bob Smith,Quantum Corp,11333.54,6869.26,4464.28,10,1133.35,39.39,January,Friday,1
2022-01-07,2022,1,Q1,Latin America,Cloud Subscription,Henry Taylor,TechCorp Inc,23598.12,17098.68,6499.44,4,5899.53,27.54,January,Friday,1
2022-01-07,2022,1,Q1,Asia Pacific,Hardware,Maya Patel,Enterprise Dynamics,24024.37,15079.39,8944.98,16,1501.52,37.23,January,Friday,1
2022-01-07,2022,1,Q1,Middle East & Africa,Software License,Noah Martinez,Quantum Corp,30136.29,18554.65,11581.64,5,6027.26,38.43,January,Friday,1
2022-01-07,2022,1,Q1,Middle East & Africa,Hardware,David Wilson,CloudTech Solutions,20294.21,12557.54,7736.67,8,2536.78,38.12,January,Friday,1
2022-01-07,2022,1,Q1,Asia Pacific,Cloud Subscription,Ivy Chen,Summit Technologies,26660.86,16250.95,10409.91,16,1666.3,39.05,January,Friday,1
2022-01-08,2022,1,Q1,Middle East & Africa,Professional Services,Henry Taylor,TechCorp Inc,19103.48,15204.5,3898.98,5,3820.7,20.41,January,Saturday,1
2022-01-08,2022,1,Q1,North America,Professional Services,Olivia White,Quantum Corp,1000.0,679.7,320.3,10,100.0,32.03,January,Saturday,1
2022-01-08,2022,1,Q1,Europe,Software License,David Wilson,Zenith Systems,31283.25,22623.12,8660.14,16,1955.2,27.68,January,Saturday,1
2022-01-09,2022,1,Q1,North America,Support & Maintenance,Noah Martinez,Innovation Systems,18756.57,13667.12,5089.45,1,18756.57,27.13,January,Sunday,1
2022-01-09,2022,1,Q1,Middle East & Africa,Cloud Subscription,Carol Davis,Vertex Solutions,17309.85,12641.33,4668.52,11,1573.62,26.97,January,Sunday,1
2022-01-09,2022,1,Q1,Middle East & Africa,Cloud Subscription,Emma Brown,Summit Technologies,12011.04,7490.48,4520.56,18,667.28,37.64,January,Sunday,1
2022-01-10,2022,1,Q1,Latin America,Cloud Subscription,Olivia White,Horizon Corp,22537.76,14793.94,7743.82,10,2253.78,34.36,January,Monday,2
2022-01-10,2022,1,Q1,Europe,Professional Services,Grace Lee,Apex Solutions,54329.84,38906.08,15423.76,5,10865.97,28.39,January,Monday,2
2022-01-10,2022,1,Q1,Latin America,Hardware,Henry Taylor,DataFlow Corp,37961.48,25644.72,12316.76,17,2233.03,32.45,January,Monday,2
2022-01-10,2022,1,Q1,Europe,Cloud Subscription,Bob Smith,NextGen Technologies,25168.03,19885.8,5282.23,19,1324.63,20.99,January,Monday,2
2022-01-10,2022,1,Q1,North America,Hardware,Ivy Chen,Smart Analytics Co,30617.69,21761.23,8856.45,4,7654.42,28.93,January,Monday,2
2022-01-10,2022,1,Q1,Middle East & Africa,Cloud Subscription,Alice Johnson,Innovation Systems,16942.0,10919.38,6022.62,9,1882.44,35.55,January,Monday,2
2022-01-10,2022,1,Q1,North America,Cloud Subscription,Bob Smith,Global Solutions Ltd,35367.45,27920.82,7446.63,13,2720.57,21.06,January,Monday,2
2022-01-11,2022,1,Q1,North America,Hardware,David Wilson,Future Systems Inc,41469.8,28768.93,12700.87,8,5183.72,30.63,January,Tuesday,2
2022-01-11,2022,1,Q1,Latin America,Cloud Subscription,Ivy Chen,CloudTech Solutions,19307.22,15299.71,4007.51,17,1135.72,20.76,January,Tuesday,2
2022-01-11,2022,1,Q1,Middle East & Africa,Hardware,Henry Taylor,Smart Analytics Co,24492.56,16276.22,8216.34,16,1530.79,33.55,January,Tuesday,2
2022-01-11,2022,1,Q1,Latin America,Support & Maintenance,David Wilson,DataFlow Corp,10841.87,8606.93,2234.94,18,602.33,20.61,January,Tuesday,2
2022-01-11,2022,1,Q1,North America,Support & Maintenance,Frank Miller,Elite Systems,27154.98,21499.7,5655.28,16,1697.19,20.83,January,Tuesday,2
2022-01-12,2022,1,Q1,Latin America,Software License,Kate Thompson,DataFlow Corp,37199.72,23719.44,13480.28,8,4649.96,36.24,January,Wednesday,2
2022-01-12,2022,1,Q1,North America,Support & Maintenance,Liam Garcia,NextGen Technologies,20174.86,12761.07,7413.79,14,1441.06,36.75,January,Wednesday,2
2022-01-12,2022,1,Q1,North America,Cloud Subscription,David Wilson,Digital Ventures,46172.98,29225.96,16947.01,1,46172.98,36.7,January,Wednesday,2
2022-01-12,2022,1,Q1,Middle East & Africa,Support & Maintenance,Carol Davis,Elite Systems,13308.55,8154.18,5154.37,9,1478.73,38.73,January,Wednesday,2
2022-01-12,2022,1,Q1,Europe,Professional Services,Henry Taylor,Smart Analytics Co,27807.5,20961.22,6846.28,5,5561.5,24.62,January,Wednesday,2
2022-01-12,2022,1,Q1,North America,Support & Maintenance,Maya Patel,Horizon Corp,14104.52,9047.28,5057.24,1,14104.52,35.86,January,Wednesday,2
2022-01-13,2022,1,Q1,North America,Hardware,Noah Martinez,TechCorp Inc,41436.53,30427.45,11009.08,2,20718.26,26.57,January,Thursday,2
2022-01-13,2022,1,Q1,North America,Cloud Subscription,Carol Davis,Elite Systems,29120.97,20268.46,8852.51,15,1941.4,30.4,January,Thursday,2
2022-01-13,2022,1,Q1,Latin America,Support & Maintenance,David Wilson,Prime Industries,11210.9,8089.98,3120.92,18,622.83,27.84,January,Thursday,2
2022-01-14,2022,1,Q1,Europe,Support & Maintenance,Alice Johnson,Prime Industries,18587.71,12626.79,5960.92,10,1858.77,32.07,January,Friday,2
2022-01-14,2022,1,Q1,Asia Pacific,Support & Maintenance,Emma Brown,Elite Systems,15228.29,10637.32,4590.97,13,1171.41,30.15,January,Friday,2
2022-01-14,2022,1,Q1,Middle East & Africa,Support & Maintenance,Carol Davis,Digital Ventures,2812.42,1912.62,899.81,16,175.78,31.99,January,Friday,2
2022-01-15,2022,1,Q1,Europe,Software License,Jack Anderson,Horizon Corp,33472.18,23256.21,10215.97,18,1859.57,30.52,January,Saturday,2
2022-01-15,2022,1,Q1,North America,Professional Services,Alice Johnson,Global Solutions Ltd,34753.38,24665.97,10087.41,5,6950.68,29.03,January,Saturday,2
2022-01-15,2022,1,Q1,Middle East & Africa,Support & Maintenance,Ivy Chen,Summit Technologies,9172.42,6769.97,2402.45,9,1019.16,26.19,January,Saturday,2
2022-01-15,2022,1,Q1,Europe,Software License,Ivy Chen,Innovation Systems,49375.61,29650.99,19724.62,4,12343.9,39.95,January,Saturday,2
2022-01-15,2022,1,Q1,Europe,Software License,Jack Anderson,Innovation Systems,34106.31,22990.88,11115.44,14,2436.17,32.59,January,Saturday,2
2022-01-16,2022,1,Q1,Europe,Support & Maintenance,Bob Smith,Zenith Systems,13754.82,9660.5,4094.32,15,916.99,29.77,January,Sunday,2
2022-01-16,2022,1,Q1,Europe,Hardware,Jack Anderson,Global Solutions Ltd,31202.14,19858.82,11343.33,7,4457.45,36.35,January,Sunday,2
2022-01-16,2022,1,Q1,Middle East & Africa,Software License,Grace Lee,Zenith Systems,20448.64,15046.53,5402.11,3,6816.21,26.42,January,Sunday,2
2022-01-16,2022,1,Q1,Middle East & Africa,Hardware,Frank Miller,Future Systems Inc,30000.91,21347.1,8653.81,8,3750.11,28.85,January,Sunday,2
2022-01-16,2022,1,Q1,Europe,Professional Services,David Wilson,Future Systems Inc,24492.58,16439.89,8052.69,13,1884.04,32.88,January,Sunday,2
2022-01-16,2022,1,Q1,Latin America,Cloud Subscription,Kate Thompson,Quantum Corp,20280.84,15619.56,4661.28,9,2253.43,22.98,January,Sunday,2
2022-01-16,2022,1,Q1,Latin America,Professional Services,Olivia White,Innovation Systems,26771.84,21254.0,5517.83,4,6692.96,20.61,January,Sunday,2
2022-01-16,2022,1,Q1,North America,Support & Maintenance,Jack Anderson,Zenith Systems,21398.04,15128.57,6269.47,19,1126.21,29.3,January,Sunday,2
2022-01-17,2022,1,Q1,North America,Hardware,David Wilson,Summit Technologies,87894.78,66233.63,21661.15,6,14649.13,24.64,January,Monday,3
2022-01-17,2022,1,Q1,Asia Pacific,Cloud Subscription,Olivia White,Apex Solutions,14298.18,8727.1,5571.08,18,794.34,38.96,January,Monday,3
2022-01-17,2022,1,Q1,North America,Cloud Subscription,Frank Miller,Quantum Corp,11328.58,7111.69,4216.9,9,1258.73,37.22,January,Monday,3
2022-01-18,2022,1,Q1,Latin America,Hardware,Liam Garcia,Quantum Corp,17959.12,12028.55,5930.57,17,1056.42,33.02,January,Tuesday,3
2022-01-18,2022,1,Q1,Middle East & Africa,Hardware,Alice Johnson,Horizon Corp,31215.49,23234.29,7981.2,8,3901.94,25.57,January,Tuesday,3
2022-01-18,2022,1,Q1,Asia Pacific,Software License,Olivia White,CloudTech Solutions,42445.7,27049.84,15395.86,19,2233.98,36.27,January,Tuesday,3
2022-01-18,2022,1,Q1,Asia Pacific,Software License,Olivia White,DataFlow Corp,48911.96,33642.97,15268.99,14,3493.71,31.22,January,Tuesday,3
2022-01-19,2022,1,Q1,Middle East & Africa,Cloud Subscription,Emma Brown,Quantum Corp,16200.91,11591.71,4609.2,17,952.99,28.45,January,Wednesday,3
2022-01-19,2022,1,Q1,Middle East & Africa,Cloud Subscription,Liam Garcia,NextGen Technologies,18950.9,14932.68,4018.23,7,2707.27,21.2,January,Wednesday,3
2022-01-19,2022,1,Q1,Europe,Professional Services,Ivy Chen,Vertex Solutions,48084.35,34362.53,13721.82,6,8014.06,28.54,January,Wednesday,3
2022-01-19,2022,1,Q1,Asia Pacific,Software License,Bob Smith,Elite Systems,56180.07,39258.43,16921.65,10,5618.01,30.12,January,Wednesday,3
2022-01-19,2022,1,Q1,Asia Pacific,Software License,Alice Johnson,NextGen Technologies,32726.37,24854.34,7872.03,5,6545.27,24.05,January,Wednesday,3
2022-01-19,2022,1,Q1,Europe,Professional Services,Carol Davis,Pinnacle Corp,50965.26,39006.76,11958.5,10,5096.53,23.46,January,Wednesday,3
2022-01-19,2022,1,Q1,Middle East & Africa,Support & Maintenance,Ivy Chen,TechCorp Inc,3961.62,2864.21,1097.41,13,304.74,27.7,January,Wednesday,3
2022-01-19,2022,1,Q1,North America,Software License,Olivia White,CloudTech Solutions,75621.28,46415.16,29206.13,19,3980.07,38.62,January,Wednesday,3
2022-01-20,2022,1,Q1,North America,Professional Services,Jack Anderson,Horizon Corp,43441.37,27048.67,16392.71,14,3102.96,37.74,January,Thursday,3
2022-01-20,2022,1,Q1,Europe,Support & Maintenance,Carol Davis,Global Solutions Ltd,9503.22,6422.86,3080.36,9,1055.91,32.41,January,Thursday,3
2022-01-20,2022,1,Q1,Asia Pacific,Professional Services,Olivia White,Global Solutions Ltd,24691.54,16861.88,7829.67,11,2244.69,31.71,January,Thursday,3
2022-01-20,2022,1,Q1,Asia Pacific,Cloud Subscription,Kate Thompson,Smart Analytics Co,28313.4,22156.65,6156.75,7,4044.77,21.75,January,Thursday,3
2022-01-20,2022,1,Q1,North America,Professional Services,Maya Patel,Horizon Corp,31945.69,20526.26,11419.43,17,1879.16,35.75,January,Thursday,3
2022-01-20,2022,1,Q1,Latin America,Hardware,Liam Garcia,CloudTech Solutions,28175.51,18088.14,10087.36,19,1482.92,35.8,January,Thursday,3
2022-01-20,2022,1,Q1,Europe,Cloud Subscription,Maya Patel,Enterprise Dynamics,21415.78,16432.61,4983.18,19,1127.15,23.27,January,Thursday,3
2022-01-21,2022,1,Q1,North America,Cloud Subscription,Liam Garcia,NextGen Technologies,4470.23,2844.79,1625.44,6,638.6,36.36,January,Friday,3
2022-01-21,2022,1,Q1,Latin America,Cloud Subscription,Emma Brown,Enterprise Dynamics,12859.51,9775.16,3084.36,18,714.42,23.99,January,Friday,3
2022-01-21,2022,1,Q1,North America,Support & Maintenance,Noah Martinez,Global Solutions Ltd,20045.93,14413.22,5632.71,15,1336.4,28.1,January,Friday,3
2022-01-21,2022,1,Q1,Latin America,Cloud Subscription,David Wilson,Pinnacle Corp,22891.63,17421.97,5469.66,14,1635.12,23.89,January,Friday,3
2022-01-21,2022,1,Q1,Asia Pacific,Professional Services,Noah Martinez,Smart Analytics Co,28521.26,20724.92,7796.34,1,28521.26,27.34,January,Friday,3
2022-01-21,2022,1,Q1,Europe,Software License,Kate Thompson,Digital Ventures,46143.17,35229.79,10913.38,11,4194.83,23.65,January,Friday,3
2022-01-22,2022,1,Q1,Asia Pacific,Professional Services,Noah Martinez,Innovation Systems,14688.4,10434.78,4253.62,2,7344.2,28.96,January,Saturday,3
2022-01-22,2022,1,Q1,Asia Pacific,Professional Services,Kate Thompson,Summit Technologies,36601.88,29174.39,7427.49,17,2153.05,20.29,January,Saturday,3
2022-01-22,2022,1,Q1,Latin America,Hardware,Frank Miller,TechCorp Inc,10884.82,7935.15,2949.67,14,777.49,27.1,January,Saturday,3
2022-01-22,2022,1,Q1,North America,Professional Services,Carol Davis,Zenith Systems,47005.18,28376.0,18629.18,18,2611.4,39.63,January,Saturday,3
2022-01-22,2022,1,Q1,Asia Pacific,Software License,Bob Smith,Stellar Enterprises,63181.07,47009.28,16171.79,10,6318.11,25.6,January,Saturday,3
2022-01-22,2022,1,Q1,Latin America,Professional Services,Liam Garcia,NextGen Technologies,19071.84,12399.48,6672.36,13,1467.06,34.99,January,Saturday,3
2022-01-23,2022,1,Q1,Middle East & Africa,Hardware,Bob Smith,Prime Industries,28143.03,17150.17,10992.86,11,2558.46,39.06,January,Sunday,3
2022-01-23,2022,1,Q1,Middle East & Africa,Cloud Subscription,Emma Brown,Global Solutions Ltd,13919.97,10051.35,3868.63,2,6959.99,27.79,January,Sunday,3
2022-01-23,2022,1,Q1,Latin America,Software License,Ivy Chen,Horizon Corp,40458.66,25586.17,14872.49,11,3678.06,36.76,January,Sunday,3
2022-01-23,2022,1,Q1,Europe,Professional Services,Grace Lee,Innovation Systems,22414.06,15024.32,7389.74,1,22414.06,32.97,January,Sunday,3
2022-01-23,2022,1,Q1,Asia Pacific,Hardware,Frank Miller,DataFlow Corp,44095.75,32584.08,11511.67,6,7349.29,26.11,January,Sunday,3
2022-01-23,2022,1,Q1,Asia Pacific,Hardware,Emma Brown,Elite Systems,32334.83,22905.35,9429.48,19,1701.83,29.16,January,Sunday,3
2022-01-24,2022,1,Q1,Latin America,Professional Services,Ivy Chen,CloudTech Solutions,35304.66,24638.59,10666.07,14,2353.64,30.21,January,Monday,4
2022-01-24,2022,1,Q1,Europe,Support & Maintenance,Kate Thompson,Prime Industries,13448.27,9651.19,3797.08,17,791.07,28.23,January,Monday,4
2022-01-24,2022,1,Q1,Europe,Hardware,Jack Anderson,Quantum Corp,39288.01,30346.39,8941.62,7,5612.57,22.76,January,Monday,4
2022-01-24,2022,1,Q1,Latin America,Hardware,Noah Martinez,TechCorp Inc,44347.32,29843.06,14504.26,12,3695.61,32.71,January,Monday,4
2022-01-24,2022,1,Q1,Asia Pacific,Professional Services,David Wilson,Elite Systems,28680.91,21744.27,6936.63,13,2206.22,24.19,January,Monday,4
2022-01-25,2022,1,Q1,Middle East & Africa,Professional Services,Henry Taylor,Pinnacle Corp,23037.83,13935.13,9102.7,10,2303.78,39.51,January,Tuesday,4
2022-01-25,2022,1,Q1,Latin America,Cloud Subscription,Ivy Chen,Vertex Solutions,10856.52,6713.02,4143.5,7,1550.93,38.17,January,Tuesday,4
2022-01-25,2022,1,Q1,Europe,Software License,Emma Brown,Summit Technologies,27181.33,17923.38,9257.94,18,1510.07,34.06,January,Tuesday,4
2022-01-25,2022,1,Q1,Middle East & Africa,Professional Services,Bob Smith,Smart Analytics Co,20750.27,13355.93,7394.34,5,4150.05,35.63,January,Tuesday,4
2022-01-25,2022,1,Q1,Asia Pacific,Cloud Subscription,Maya Patel,Digital Ventures,29587.12,21382.09,8205.03,6,4226.73,27.73,January,Tuesday,4
2022-01-25,2022,1,Q1,Europe,Software License,Alice Johnson,Smart Analytics Co,52496.78,33813.03,18683.75,17,3088.05,35.59,January,Tuesday,4
2022-01-25,2022,1,Q1,Latin America,Hardware,Noah Martinez,Innovation Systems,9102.05,6548.52,2553.54,17,535.41,28.05,January,Tuesday,4
2022-01-26,2022,1,Q1,Latin America,Hardware,David Wilson,Prime Industries,32329.59,20848.97,11480.62,14,2155.31,35.51,January,Wednesday,4
2022-01-26,2022,1,Q1,Latin America,Support & Maintenance,David Wilson,CloudTech Solutions,5271.6,3665.53,1606.07,3,1757.2,30.47,January,Wednesday,4
2022-01-26,2022,1,Q1,North America,Software License,Maya Patel,Elite Systems,69782.98,45495.07,24287.91,5,13956.6,34.8,January,Wednesday,4
2022-01-26,2022,1,Q1,Europe,Cloud Subscription,Maya Patel,Summit Technologies,25364.74,18117.11,7247.62,8,3170.59,28.57,January,Wednesday,4
2022-01-26,2022,1,Q1,Latin America,Software License,Ivy Chen,Smart Analytics Co,42159.86,32468.0,9691.86,16,2634.99,22.99,January,Wednesday,4
2022-01-26,2022,1,Q1,North America,Support & Maintenance,Carol Davis,Pinnacle Corp,24400.05,17658.86,6741.19,6,4066.67,27.63,January,Wednesday,4
2022-01-27,2022,1,Q1,Middle East & Africa,Hardware,Jack Anderson,NextGen Technologies,18147.49,14186.62,3960.87,18,1008.19,21.83,January,Thursday,4
2022-01-27,2022,1,Q1,Latin America,Hardware,Noah Martinez,Summit Technologies,28043.03,18435.7,9607.33,14,2003.07,34.26,January,Thursday,4
2022-01-27,2022,1,Q1,Latin America,Hardware,Henry Taylor,Enterprise Dynamics,23074.17,13929.55,9144.63,9,2563.8,39.63,January,Thursday,4
2022-01-27,2022,1,Q1,Latin America,Support & Maintenance,Emma Brown,Smart Analytics Co,12627.64,7835.47,4792.16,4,3156.91,37.95,January,Thursday,4
2022-01-27,2022,1,Q1,Asia Pacific,Hardware,Henry Taylor,Smart Analytics Co,24734.17,15210.0,9524.17,18,1374.12,38.51,January,Thursday,4
2022-01-27,2022,1,Q1,Asia Pacific,Support & Maintenance,Bob Smith,Quantum Corp,12910.33,9735.44,3174.89,2,6455.16,24.59,January,Thursday,4
2022-01-27,2022,1,Q1,Europe,Professional Services,Frank Miller,NextGen Technologies,40280.17,24831.77,15448.4,14,2877.16,38.35,January,Thursday,4
2022-01-27,2022,1,Q1,Middle East & Africa,Software License,Carol Davis,CloudTech Solutions,36375.21,24158.54,12216.67,6,6062.53,33.59,January,Thursday,4
2022-01-28,2022,1,Q1,Latin America,Cloud Subscription,Liam Garcia,Digital Ventures,13752.92,9553.36,4199.56,8,1719.12,30.54,January,Friday,4
2022-01-28,2022,1,Q1,North America,Support & Maintenance,Grace Lee,NextGen Technologies,27759.12,16754.64,11004.48,12,2313.26,39.64,January,Friday,4
2022-01-28,2022,1,Q1,Middle East & Africa,Support & Maintenance,Grace Lee,Global Solutions Ltd,8850.7,6072.12,2778.58,6,1475.12,31.39,January,Friday,4
2022-01-28,2022,1,Q1,Europe,Support & Maintenance,Grace Lee,Zenith Systems,8367.73,6008.47,2359.26,8,1045.97,28.19,January,Friday,4
2022-01-29,2022,1,Q1,North America,Hardware,Grace Lee,Vertex Solutions,13787.7,10189.06,3598.64,1,13787.7,26.1,January,Saturday,4
2022-01-29,2022,1,Q1,North America,Professional Services,Emma Brown,Prime Industries,54182.6,37736.62,16445.97,1,54182.6,30.35,January,Saturday,4
2022-01-29,2022,1,Q1,Latin America,Hardware,Liam Garcia,Horizon Corp,24885.56,15096.59,9788.97,7,3555.08,39.34,January,Saturday,4
2022-01-29,2022,1,Q1,Middle East & Africa,Cloud Subscription,Henry Taylor,Smart Analytics Co,15937.97,10200.78,5737.19,12,1328.16,36.0,January,Saturday,4
2022-01-29,2022,1,Q1,Asia Pacific,Support & Maintenance,Henry Taylor,TechCorp Inc,15110.67,11489.33,3621.34,15,1007.38,23.97,January,Saturday,4
2022-01-29,2022,1,Q1,Latin America,Professional Services,Kate Thompson,Prime Industries,32481.22,23669.57,8811.65,9,3609.02,27.13,January,Saturday,4
2022-01-29,2022,1,Q1,Europe,Support & Maintenance,Olivia White,CloudTech Solutions,22836.77,16514.37,6322.39,19,1201.94,27.69,January,Saturday,4
2022-01-29,2022,1,Q1,Middle East & Africa,Hardware,Alice Johnson,Prime Industries,47136.52,33517.49,13619.03,18,2618.7,28.89,January,Saturday,4
2022-01-30,2022,1,Q1,Middle East & Africa,Software License,Bob Smith,Elite Systems,18199.01,11722.21,6476.81,15,1213.27,35.59,January,Sunday,4
2022-01-30,2022,1,Q1,Europe,Support & Maintenance,Carol Davis,Global Solutions Ltd,16996.12,12722.29,4273.82,5,3399.22,25.15,January,Sunday,4
2022-01-30,2022,1,Q1,Asia Pacific,Support & Maintenance,Frank Miller,Digital Ventures,18211.94,12699.8,5512.14,2,9105.97,30.27,January,Sunday,4
2022-01-30,2022,1,Q1,Latin America,Professional Services,Frank Miller,Prime Industries,28190.14,19078.23,9111.92,18,1566.12,32.32,January,Sunday,4
2022-01-30,2022,1,Q1,Asia Pacific,Support & Maintenance,Emma Brown,Innovation Systems,10414.75,7274.24,3140.51,15,694.32,30.15,January,Sunday,4
2022-01-30,2022,1,Q1,Latin America,Software License,Liam Garcia,Horizon Corp,31939.36,23329.29,8610.06,2,15969.68,26.96,January,Sunday,4
2022-01-30,2022,1,Q1,North America,Professional Services,David Wilson,Innovation Systems,21749.5,14972.46,6777.04,16,1359.34,31.16,January,Sunday,4
2022-01-31,2022,1,Q1,North America,Software License,David Wilson,Digital Ventures,54608.84,35481.7,19127.13,10,4964.44,35.03,January,Monday,5
2022-01-31,2022,1,Q1,North America,Hardware,Carol Davis,Smart Analytics Co,80285.27,59497.58,20787.69,15,5352.35,25.89,January,Monday,5
2022-01-31,2022,1,Q1,Europe,Support & Maintenance,Kate Thompson,DataFlow Corp,13365.6,8171.96,5193.64,5,2673.12,38.86,January,Monday,5
2022-01-31,2022,1,Q1,Middle East & Africa,Cloud Subscription,Henry Taylor,Future Systems Inc,10032.22,6316.97,3715.24,18,557.35,37.03,January,Monday,5
2022-01-31,2022,1,Q1,Asia Pacific,Cloud Subscription,Jack Anderson,Stellar Enterprises,23503.27,16525.6,6977.67,18,1305.74,29.69,January,Monday,5
2022-01-31,2022,1,Q1,North America,Cloud Subscription,Emma Brown,DataFlow Corp,9956.27,6284.72,3671.54,6,1659.38,36.88,January,Monday,5
